gender,age,height,weight,bust_circumference,waist_circumference,hip_circumference
M,27.0,1.729,74.7,1132.7290941558442,1153.017003246753,1011.7225813492063
M,25.0,1.645,58.6,1141.5674274891776,1157.4515714285712,885.7404047619051
M,28.0,1.786,75.2,1132.7290941558442,1153.017003246753,1015.3483035714285
M,19.0,1.686,60.8,1141.5674274891776,1157.4515714285712,902.6378095238101
M,24.0,1.764,68.3,1141.1686774891778,1157.4515714285712,946.7669392135643
M,19.0,1.755,63.4,1141.5674274891776,1157.4515714285712,912.4392402319905
M,26.0,1.75,77.0,1132.7290941558442,1153.017003246753,1006.8397380952383
M,25.0,1.773,73.2,1141.1874274891777,1157.4515714285712,1020.1150734126984
F,20.0,1.56,50.1,1141.5674274891776,1157.4515714285712,880.8458382034632
M,16.0,1.738,60.0,1140.3474274891776,1156.315821428571,902.278531746032
M,16.0,1.735,75.0,1139.724094155844,1156.315821428571,1032.066890873016
M,16.0,1.736,79.9,1141.8996497114,1156.706321428571,1054.7021572871574
M,16.0,1.69,53.4,1140.3474274891776,1156.315821428571,886.5999285714283
M,16.0,1.724,72.4,1139.9674274891777,1156.315821428571,1017.2409464285713
M,17.0,1.726,54.0,1140.3474274891776,1156.315821428571,887.1911111111109
M,17.0,1.71,55.5,1140.3474274891776,1156.315821428571,882.3369880952383
M,17.0,1.75,52.5,1140.3474274891776,1156.315821428571,890.8879036796535
F,16.0,1.613,49.4,1140.3474274891776,1156.315821428571,881.1166726190473
F,15.0,1.594,46.1,1140.3474274891776,1156.315821428571,864.1515178571431
F,16.0,1.634,80.8,1141.8996497114,1156.108988095238,1057.4449231601734
M,16.0,1.706,55.0,1140.3474274891776,1156.315821428571,890.7712896825395
M,16.0,1.627,48.9,1140.3474274891776,1156.315821428571,876.7690654761901
M,16.0,1.77,86.6,1144.633506854257,1159.4910357142855,1093.39682936508
M,15.0,1.697,58.3,1140.3474274891776,1156.315821428571,890.0517480158735
F,17.0,1.542,51.8,1140.3474274891776,1156.315821428571,885.7508163780661
F,17.0,1.604,59.2,1140.3474274891776,1156.315821428571,897.8804781746035
F,17.0,1.599,55.1,1140.3474274891776,1156.315821428571,890.6110396825395
F,17.0,1.634,55.0,1140.3474274891776,1156.315821428571,890.7712896825395
F,17.0,1.605,63.3,1140.3474274891776,1156.315821428571,915.612643009768
F,17.0,1.575,51.0,1140.3474274891776,1156.315821428571,885.38644534632
F,17.0,1.583,47.7,1140.3474274891776,1156.315821428571,872.3957619047618
F,17.0,1.518,49.4,1140.3474274891776,1156.315821428571,881.1166726190473
F,17.0,1.621,59.2,1140.3474274891776,1156.315821428571,897.8804781746035
F,16.0,1.607,61.2,1140.3474274891776,1156.315821428571,908.8142471139972
F,16.0,1.561,57.9,1140.3474274891776,1156.315821428571,890.6269444444448
F,16.0,1.561,52.5,1140.3474274891776,1156.315821428571,890.8879036796535
M,17.0,1.801,80.4,1141.8996497114,1156.108988095238,1057.1244906204909
M,17.0,1.76,62.6,1140.3474274891776,1156.315821428571,913.3884781746034
M,16.0,1.75,64.8,1139.9486774891777,1156.315821428571,919.420367063492
M,17.0,1.678,66.0,1139.9486774891777,1156.315821428571,928.0254080086578
M,17.0,1.739,67.0,1139.9486774891777,1156.315821428571,946.418625
M,17.0,1.61,46.8,1140.3474274891776,1156.315821428571,867.5789642857143
M,17.0,1.851,101.7,1154.043102092352,1163.0855357142855,1179.443346861472
M,17.0,1.685,53.0,1140.3474274891776,1156.315821428571,887.6039989177485
M,17.0,1.715,63.4,1140.3474274891776,1156.315821428571,916.2745418192919
M,16.0,1.865,67.3,1139.9486774891777,1156.315821428571,947.772761904762
M,16.0,1.607,42.6,1140.3474274891776,1156.315821428571,858.3466607142859
F,46.0,1.525,53.4,1134.4796179653679,1153.9949437229434,866.8696805555546
F,55.0,1.576,58.8,1134.4796179653679,1153.9949437229434,875.3281091269841
F,43.0,1.552,48.3,1134.4796179653679,1153.9949437229434,846.2158273809521
F,51.0,1.455,63.0,1134.4796179653679,1153.9949437229434,905.9245344516588
F,40.0,1.565,73.8,1133.744617965368,1153.9949437229434,987.7080873015874
F,58.0,1.436,51.2,1134.4796179653679,1153.9949437229434,849.4278005050503
F,22.0,1.579,64.9,1141.1686774891778,1157.4515714285712,916.6468988095238
F,51.0,1.607,57.3,1134.4796179653679,1153.9949437229434,869.3512162698414
F,36.0,1.664,54.6,1132.7490941558442,1153.017003246753,888.6970099206347
F,47.0,1.58,52.2,1134.4796179653679,1153.9949437229434,864.2540544733039
F,45.0,1.594,60.5,1134.4796179653679,1153.9949437229434,896.9016527777778
F,47.0,1.57,48.4,1134.4796179653679,1153.9949437229434,845.4177440476187
F,58.0,1.488,55.8,1134.4796179653679,1153.9949437229434,862.8412738095237
F,44.0,1.604,61.0,1134.4796179653679,1153.9949437229434,896.6502361111111
F,61.0,1.567,55.9,1134.4796179653679,1153.9949437229434,861.4359642857142
F,20.0,1.593,70.1,1141.1686774891778,1157.4515714285712,1000.9019628427127
F,16.0,1.578,55.5,1140.3474274891776,1156.315821428571,882.3369880952383
F,46.0,1.544,62.2,1134.4796179653679,1153.9949437229434,894.7877447691196
F,36.0,1.63,53.5,1132.7490941558442,1153.017003246753,886.0618302669551
F,59.0,1.634,58.4,1134.4796179653679,1153.9949437229434,874.2143075396826
F,24.0,1.596,54.7,1141.5674274891776,1157.4515714285712,888.6861587301585
F,46.0,1.514,57.0,1134.4796179653679,1153.9949437229434,869.2499107142858
F,33.0,1.668,64.1,1132.3503441558441,1153.017003246753,910.8404642857146
F,36.0,1.58,46.6,1132.7490941558442,1153.017003246753,859.1559365079364
F,49.0,1.562,52.7,1134.4796179653679,1153.9949437229434,865.452399711399
F,61.0,1.519,43.9,1134.4796179653679,1153.9949437229434,842.7604464285716
F,41.0,1.601,59.8,1134.4796179653679,1153.9949437229434,876.386888888889
F,59.0,1.478,45.6,1134.4796179653679,1153.9949437229434,843.0273630952382
F,50.0,1.548,53.5,1134.4796179653679,1153.9949437229434,867.4944702380942
F,44.0,1.589,53.7,1134.4796179653679,1153.9949437229434,867.8763749999989
F,48.0,1.509,52.0,1134.4796179653679,1153.9949437229434,855.5854949494944
F,43.0,1.655,59.6,1134.4796179653679,1153.9949437229434,877.3969722222223
F,37.0,1.594,60.4,1134.4796179653679,1153.9949437229434,894.1355396825397
F,50.0,1.502,62.1,1134.4796179653679,1153.9949437229434,893.8152606421355
F,47.0,1.604,62.0,1134.4796179653679,1153.9949437229434,894.4915999278501
F,51.0,1.64,55.0,1134.4796179653679,1153.9949437229434,874.1182519841262
